date,fiscal_year,product_id,product_name,category,consumption_tmt,consumption_mmt
2014-08-01,FY 2014-15,PRD05,Naphtha,Light Distillate,810.8,0.8108
2014-08-01,FY 2014-15,PRD06,Petroleum Coke (Petcoke),Heavy Ends,983.39,0.9834
2014-08-01,FY 2014-15,PRD07,Bitumen,Heavy Ends,308.81,0.3088
2014-08-01,FY 2014-15,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,616.6,0.6166
2014-08-01,FY 2014-15,PRD09,Light Diesel Oil & Lubes,Others,903.44,0.9034
2014-09-01,FY 2014-15,PRD01,High Speed Diesel (HSD),Middle Distillate,5592.2,5.5922
2014-09-01,FY 2014-15,PRD02,Motor Spirit (Petrol / MS),Light Distillate,1838.6,1.8386
2014-09-01,FY 2014-15,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1563.9,1.5639
2014-09-01,FY 2014-15,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,498.81,0.4988
2014-09-01,FY 2014-15,PRD05,Naphtha,Light Distillate,855.1,0.8551
2014-09-01,FY 2014-15,PRD06,Petroleum Coke (Petcoke),Heavy Ends,1093.58,1.0936
2014-09-01,FY 2014-15,PRD07,Bitumen,Heavy Ends,528.93,0.5289
2014-09-01,FY 2014-15,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,642.13,0.6421
2014-09-01,FY 2014-15,PRD09,Light Diesel Oil & Lubes,Others,976.31,0.9763
2014-10-01,FY 2014-15,PRD01,High Speed Diesel (HSD),Middle Distillate,5899.36,5.8994
2014-10-01,FY 2014-15,PRD02,Motor Spirit (Petrol / MS),Light Distillate,1951.44,1.9514
2014-10-01,FY 2014-15,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1639.47,1.6395
2014-10-01,FY 2014-15,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,544.18,0.5442
2014-10-01,FY 2014-15,PRD05,Naphtha,Light Distillate,902.19,0.9022
2014-10-01,FY 2014-15,PRD06,Petroleum Coke (Petcoke),Heavy Ends,1112.3,1.1123
2014-10-01,FY 2014-15,PRD07,Bitumen,Heavy Ends,613.31,0.6133
2014-10-01,FY 2014-15,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,644.48,0.6445
2014-10-01,FY 2014-15,PRD09,Light Diesel Oil & Lubes,Others,1017.86,1.0179
2014-11-01,FY 2014-15,PRD01,High Speed Diesel (HSD),Middle Distillate,5894.09,5.8941
2014-11-01,FY 2014-15,PRD02,Motor Spirit (Petrol / MS),Light Distillate,1963.23,1.9632
2014-11-01,FY 2014-15,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1665.49,1.6655
2014-11-01,FY 2014-15,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,522.41,0.5224
2014-11-01,FY 2014-15,PRD05,Naphtha,Light Distillate,895.16,0.8952
2014-11-01,FY 2014-15,PRD06,Petroleum Coke (Petcoke),Heavy Ends,1094.98,1.095
2014-11-01,FY 2014-15,PRD07,Bitumen,Heavy Ends,607.33,0.6073
2014-11-01,FY 2014-15,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,673.28,0.6733
2014-11-01,FY 2014-15,PRD09,Light Diesel Oil & Lubes,Others,1052.74,1.0527
2014-12-01,FY 2014-15,PRD01,High Speed Diesel (HSD),Middle Distillate,5916.93,5.9169
2014-12-01,FY 2014-15,PRD02,Motor Spirit (Petrol / MS),Light Distillate,1991.43,1.9914
2014-12-01,FY 2014-15,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1655.24,1.6552
2014-12-01,FY 2014-15,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,516.87,0.5169
2014-12-01,FY 2014-15,PRD05,Naphtha,Light Distillate,904.3,0.9043
2014-12-01,FY 2014-15,PRD06,Petroleum Coke (Petcoke),Heavy Ends,1121.72,1.1217
2014-12-01,FY 2014-15,PRD07,Bitumen,Heavy Ends,584.75,0.5847
2014-12-01,FY 2014-15,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,672.3,0.6723
2014-12-01,FY 2014-15,PRD09,Light Diesel Oil & Lubes,Others,1022.69,1.0227
2015-01-01,FY 2014-15,PRD01,High Speed Diesel (HSD),Middle Distillate,5697.12,5.6971
2015-01-01,FY 2014-15,PRD02,Motor Spirit (Petrol / MS),Light Distillate,1901.52,1.9015
2015-01-01,FY 2014-15,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1619.71,1.6197
2015-01-01,FY 2014-15,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,491.9,0.4919
2015-01-01,FY 2014-15,PRD05,Naphtha,Light Distillate,848.95,0.849
2015-01-01,FY 2014-15,PRD06,Petroleum Coke (Petcoke),Heavy Ends,1059.54,1.0595
2015-01-01,FY 2014-15,PRD07,Bitumen,Heavy Ends,584.34,0.5843
2015-01-01,FY 2014-15,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,631.96,0.632
2015-01-01,FY 2014-15,PRD09,Light Diesel Oil & Lubes,Others,1009.27,1.0093
2015-02-01,FY 2014-15,PRD01,High Speed Diesel (HSD),Middle Distillate,5691.76,5.6918
2015-02-01,FY 2014-15,PRD02,Motor Spirit (Petrol / MS),Light Distillate,1887.44,1.8874
2015-02-01,FY 2014-15,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1603.95,1.6039
2015-02-01,FY 2014-15,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,483.98,0.484
2015-02-01,FY 2014-15,PRD05,Naphtha,Light Distillate,860.51,0.8605
2015-02-01,FY 2014-15,PRD06,Petroleum Coke (Petcoke),Heavy Ends,1057.14,1.0571
2015-02-01,FY 2014-15,PRD07,Bitumen,Heavy Ends,587.22,0.5872
2015-02-01,FY 2014-15,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,643.63,0.6436
2015-02-01,FY 2014-15,PRD09,Light Diesel Oil & Lubes,Others,1000.67,1.0007
2015-03-01,FY 2014-15,PRD01,High Speed Diesel (HSD),Middle Distillate,6010.7,6.0107
2015-03-01,FY 2014-15,PRD02,Motor Spirit (Petrol / MS),Light Distillate,2040.55,2.0406
2015-03-01,FY 2014-15,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1702.9,1.7029
2015-03-01,FY 2014-15,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,517.14,0.5171
2015-03-01,FY 2014-15,PRD05,Naphtha,Light Distillate,879.75,0.8798
2015-03-01,FY 2014-15,PRD06,Petroleum Coke (Petcoke),Heavy Ends,1122.66,1.1227
2015-03-01,FY 2014-15,PRD07,Bitumen,Heavy Ends,594.98,0.595
2015-03-01,FY 2014-15,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,681.38,0.6814
2015-03-01,FY 2014-15,PRD09,Light Diesel Oil & Lubes,Others,1052.24,1.0522
2015-04-01,FY 2015-16,PRD01,High Speed Diesel (HSD),Middle Distillate,5743.0,5.743
2015-04-01,FY 2015-16,PRD02,Motor Spirit (Petrol / MS),Light Distillate,1932.99,1.933
2015-04-01,FY 2015-16,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1630.86,1.6309
2015-04-01,FY 2015-16,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,523.16,0.5232
2015-04-01,FY 2015-16,PRD05,Naphtha,Light Distillate,871.53,0.8715
2015-04-01,FY 2015-16,PRD06,Petroleum Coke (Petcoke),Heavy Ends,1082.1,1.0821
2015-04-01,FY 2015-16,PRD07,Bitumen,Heavy Ends,568.57,0.5686
2015-04-01,FY 2015-16,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,640.3,0.6403
2015-04-01,FY 2015-16,PRD09,Light Diesel Oil & Lubes,Others,998.04,0.998
2015-05-01,FY 2015-16,PRD01,High Speed Diesel (HSD),Middle Distillate,5742.11,5.7421
2015-05-01,FY 2015-16,PRD02,Motor Spirit (Petrol / MS),Light Distillate,1966.12,1.9661
2015-05-01,FY 2015-16,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1638.04,1.638
2015-05-01,FY 2015-16,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,487.02,0.487
2015-05-01,FY 2015-16,PRD05,Naphtha,Light Distillate,896.12,0.8961
2015-05-01,FY 2015-16,PRD06,Petroleum Coke (Petcoke),Heavy Ends,1091.8,1.0918
2015-05-01,FY 2015-16,PRD07,Bitumen,Heavy Ends,558.63,0.5586
2015-05-01,FY 2015-16,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,645.57,0.6456
2015-05-01,FY 2015-16,PRD09,Light Diesel Oil & Lubes,Others,1016.2,1.0162
2015-06-01,FY 2015-16,PRD01,High Speed Diesel (HSD),Middle Distillate,5793.32,5.7933
2015-06-01,FY 2015-16,PRD02,Motor Spirit (Petrol / MS),Light Distillate,1950.81,1.9508
2015-06-01,FY 2015-16,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1665.69,1.6657
2015-06-01,FY 2015-16,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,530.13,0.5301
2015-06-01,FY 2015-16,PRD05,Naphtha,Light Distillate,863.37,0.8634
2015-06-01,FY 2015-16,PRD06,Petroleum Coke (Petcoke),Heavy Ends,1086.84,1.0868
2015-06-01,FY 2015-16,PRD07,Bitumen,Heavy Ends,566.32,0.5663
2015-06-01,FY 2015-16,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,651.55,0.6515
2015-06-01,FY 2015-16,PRD09,Light Diesel Oil & Lubes,Others,1017.72,1.0177
2015-07-01,FY 2015-16,PRD01,High Speed Diesel (HSD),Middle Distillate,5448.03,5.448
2015-07-01,FY 2015-16,PRD02,Motor Spirit (Petrol / MS),Light Distillate,1877.67,1.8777
2015-07-01,FY 2015-16,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1549.88,1.5499
2015-07-01,FY 2015-16,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,450.83,0.4508
2015-07-01,FY 2015-16,PRD05,Naphtha,Light Distillate,823.12,0.8231
2015-07-01,FY 2015-16,PRD06,Petroleum Coke (Petcoke),Heavy Ends,1033.7,1.0337
2015-07-01,FY 2015-16,PRD07,Bitumen,Heavy Ends,333.12,0.3331
2015-07-01,FY 2015-16,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,612.68,0.6127
2015-07-01,FY 2015-16,PRD09,Light Diesel Oil & Lubes,Others,962.55,0.9625
2015-08-01,FY 2015-16,PRD01,High Speed Diesel (HSD),Middle Distillate,5477.29,5.4773
2015-08-01,FY 2015-16,PRD02,Motor Spirit (Petrol / MS),Light Distillate,1879.01,1.879
2015-08-01,FY 2015-16,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1564.65,1.5647
2015-08-01,FY 2015-16,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,474.59,0.4746
2015-08-01,FY 2015-16,PRD05,Naphtha,Light Distillate,823.9,0.8239
2015-08-01,FY 2015-16,PRD06,Petroleum Coke (Petcoke),Heavy Ends,1057.61,1.0576
2015-08-01,FY 2015-16,PRD07,Bitumen,Heavy Ends,327.83,0.3278
2015-08-01,FY 2015-16,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,619.54,0.6195
2015-08-01,FY 2015-16,PRD09,Light Diesel Oil & Lubes,Others,956.95,0.957
2015-09-01,FY 2015-16,PRD01,High Speed Diesel (HSD),Middle Distillate,5836.65,5.8366
2015-09-01,FY 2015-16,PRD02,Motor Spirit (Petrol / MS),Light Distillate,2035.02,2.035
2015-09-01,FY 2015-16,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1687.0,1.687
2015-09-01,FY 2015-16,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,515.97,0.516
2015-09-01,FY 2015-16,PRD05,Naphtha,Light Distillate,882.95,0.883
2015-09-01,FY 2015-16,PRD06,Petroleum Coke (Petcoke),Heavy Ends,1067.24,1.0672
2015-09-01,FY 2015-16,PRD07,Bitumen,Heavy Ends,599.44,0.5994
2015-09-01,FY 2015-16,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,663.81,0.6638
2015-09-01,FY 2015-16,PRD09,Light Diesel Oil & Lubes,Others,1035.89,1.0359
2015-10-01,FY 2015-16,PRD01,High Speed Diesel (HSD),Middle Distillate,6118.79,6.1188
2015-10-01,FY 2015-16,PRD02,Motor Spirit (Petrol / MS),Light Distillate,2113.58,2.1136
2015-10-01,FY 2015-16,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1768.36,1.7684
2015-10-01,FY 2015-16,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,557.75,0.5577
2015-10-01,FY 2015-16,PRD05,Naphtha,Light Distillate,924.2,0.9242
2015-10-01,FY 2015-16,PRD06,Petroleum Coke (Petcoke),Heavy Ends,1193.59,1.1936
2015-10-01,FY 2015-16,PRD07,Bitumen,Heavy Ends,626.38,0.6264
2015-10-01,FY 2015-16,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,678.27,0.6783
2015-10-01,FY 2015-16,PRD09,Light Diesel Oil & Lubes,Others,1082.93,1.0829
2015-11-01,FY 2015-16,PRD01,High Speed Diesel (HSD),Middle Distillate,6137.94,6.1379
2015-11-01,FY 2015-16,PRD02,Motor Spirit (Petrol / MS),Light Distillate,2099.93,2.0999
2015-11-01,FY 2015-16,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1808.81,1.8088
2015-11-01,FY 2015-16,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,554.94,0.5549
2015-11-01,FY 2015-16,PRD05,Naphtha,Light Distillate,941.24,0.9412
2015-11-01,FY 2015-16,PRD06,Petroleum Coke (Petcoke),Heavy Ends,1169.03,1.169
2015-11-01,FY 2015-16,PRD07,Bitumen,Heavy Ends,601.43,0.6014
2015-11-01,FY 2015-16,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,692.68,0.6927
2015-11-01,FY 2015-16,PRD09,Light Diesel Oil & Lubes,Others,1101.41,1.1014
2015-12-01,FY 2015-16,PRD01,High Speed Diesel (HSD),Middle Distillate,6150.18,6.1502
2015-12-01,FY 2015-16,PRD02,Motor Spirit (Petrol / MS),Light Distillate,2108.4,2.1084
2015-12-01,FY 2015-16,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1791.74,1.7917
2015-12-01,FY 2015-16,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,544.22,0.5442
2015-12-01,FY 2015-16,PRD05,Naphtha,Light Distillate,938.63,0.9386
2015-12-01,FY 2015-16,PRD06,Petroleum Coke (Petcoke),Heavy Ends,1181.68,1.1817
2015-12-01,FY 2015-16,PRD07,Bitumen,Heavy Ends,633.96,0.634
2015-12-01,FY 2015-16,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,706.33,0.7063
2015-12-01,FY 2015-16,PRD09,Light Diesel Oil & Lubes,Others,1110.63,1.1106
2016-01-01,FY 2015-16,PRD01,High Speed Diesel (HSD),Middle Distillate,5866.89,5.8669
2016-01-01,FY 2015-16,PRD02,Motor Spirit (Petrol / MS),Light Distillate,2064.66,2.0647
2016-01-01,FY 2015-16,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1728.93,1.7289
2016-01-01,FY 2015-16,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,503.61,0.5036
2016-01-01,FY 2015-16,PRD05,Naphtha,Light Distillate,872.66,0.8727
2016-01-01,FY 2015-16,PRD06,Petroleum Coke (Petcoke),Heavy Ends,1107.81,1.1078
2016-01-01,FY 2015-16,PRD07,Bitumen,Heavy Ends,586.88,0.5869
2016-01-01,FY 2015-16,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,682.7,0.6827
2016-01-01,FY 2015-16,PRD09,Light Diesel Oil & Lubes,Others,1035.18,1.0352
2016-02-01,FY 2015-16,PRD01,High Speed Diesel (HSD),Middle Distillate,5894.13,5.8941
2016-02-01,FY 2015-16,PRD02,Motor Spirit (Petrol / MS),Light Distillate,2060.89,2.0609
2016-02-01,FY 2015-16,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1746.2,1.7462
2016-02-01,FY 2015-16,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,524.26,0.5243
2016-02-01,FY 2015-16,PRD05,Naphtha,Light Distillate,895.71,0.8957
2016-02-01,FY 2015-16,PRD06,Petroleum Coke (Petcoke),Heavy Ends,1121.35,1.1213
2016-02-01,FY 2015-16,PRD07,Bitumen,Heavy Ends,618.31,0.6183
2016-02-01,FY 2015-16,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,662.56,0.6626
2016-02-01,FY 2015-16,PRD09,Light Diesel Oil & Lubes,Others,1067.87,1.0679
2016-03-01,FY 2015-16,PRD01,High Speed Diesel (HSD),Middle Distillate,6223.63,6.2236
2016-03-01,FY 2015-16,PRD02,Motor Spirit (Petrol / MS),Light Distillate,2184.82,2.1848
2016-03-01,FY 2015-16,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1863.82,1.8638
2016-03-01,FY 2015-16,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,536.4,0.5364
2016-03-01,FY 2015-16,PRD05,Naphtha,Light Distillate,941.37,0.9414
2016-03-01,FY 2015-16,PRD06,Petroleum Coke (Petcoke),Heavy Ends,1164.86,1.1649
2016-03-01,FY 2015-16,PRD07,Bitumen,Heavy Ends,645.41,0.6454
2016-03-01,FY 2015-16,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,735.35,0.7354
2016-03-01,FY 2015-16,PRD09,Light Diesel Oil & Lubes,Others,1129.51,1.1295
2016-04-01,FY 2016-17,PRD01,High Speed Diesel (HSD),Middle Distillate,5959.88,5.9599
2016-04-01,FY 2016-17,PRD02,Motor Spirit (Petrol / MS),Light Distillate,2093.16,2.0932
2016-04-01,FY 2016-17,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1743.8,1.7438
2016-04-01,FY 2016-17,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,502.73,0.5027
2016-04-01,FY 2016-17,PRD05,Naphtha,Light Distillate,935.34,0.9353
2016-04-01,FY 2016-17,PRD06,Petroleum Coke (Petcoke),Heavy Ends,1138.03,1.138
2016-04-01,FY 2016-17,PRD07,Bitumen,Heavy Ends,595.82,0.5958
2016-04-01,FY 2016-17,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,698.52,0.6985
2016-04-01,FY 2016-17,PRD09,Light Diesel Oil & Lubes,Others,1041.01,1.041
2016-05-01,FY 2016-17,PRD01,High Speed Diesel (HSD),Middle Distillate,5964.85,5.9649
2016-05-01,FY 2016-17,PRD02,Motor Spirit (Petrol / MS),Light Distillate,2106.62,2.1066
2016-05-01,FY 2016-17,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1768.83,1.7688
2016-05-01,FY 2016-17,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,528.71,0.5287
2016-05-01,FY 2016-17,PRD05,Naphtha,Light Distillate,886.24,0.8862
2016-05-01,FY 2016-17,PRD06,Petroleum Coke (Petcoke),Heavy Ends,1136.13,1.1361
2016-05-01,FY 2016-17,PRD07,Bitumen,Heavy Ends,621.07,0.6211
2016-05-01,FY 2016-17,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,680.56,0.6806
2016-05-01,FY 2016-17,PRD09,Light Diesel Oil & Lubes,Others,1070.96,1.071
2016-06-01,FY 2016-17,PRD01,High Speed Diesel (HSD),Middle Distillate,5960.27,5.9603
2016-06-01,FY 2016-17,PRD02,Motor Spirit (Petrol / MS),Light Distillate,2121.94,2.1219
2016-06-01,FY 2016-17,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1759.88,1.7599
2016-06-01,FY 2016-17,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,542.74,0.5427
2016-06-01,FY 2016-17,PRD05,Naphtha,Light Distillate,911.67,0.9117
2016-06-01,FY 2016-17,PRD06,Petroleum Coke (Petcoke),Heavy Ends,1149.35,1.1493
2016-06-01,FY 2016-17,PRD07,Bitumen,Heavy Ends,623.78,0.6238
2016-06-01,FY 2016-17,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,693.77,0.6938
2016-06-01,FY 2016-17,PRD09,Light Diesel Oil & Lubes,Others,1067.16,1.0672
2016-07-01,FY 2016-17,PRD01,High Speed Diesel (HSD),Middle Distillate,5618.57,5.6186
2016-07-01,FY 2016-17,PRD02,Motor Spirit (Petrol / MS),Light Distillate,2007.33,2.0073
2016-07-01,FY 2016-17,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1664.52,1.6645
2016-07-01,FY 2016-17,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,496.24,0.4962
2016-07-01,FY 2016-17,PRD05,Naphtha,Light Distillate,853.92,0.8539
2016-07-01,FY 2016-17,PRD06,Petroleum Coke (Petcoke),Heavy Ends,1059.72,1.0597
2016-07-01,FY 2016-17,PRD07,Bitumen,Heavy Ends,314.45,0.3145
2016-07-01,FY 2016-17,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,634.63,0.6346
2016-07-01,FY 2016-17,PRD09,Light Diesel Oil & Lubes,Others,1005.69,1.0057
2016-08-01,FY 2016-17,PRD01,High Speed Diesel (HSD),Middle Distillate,5629.44,5.6294
2016-08-01,FY 2016-17,PRD02,Motor Spirit (Petrol / MS),Light Distillate,2020.03,2.02
2016-08-01,FY 2016-17,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1710.46,1.7105
2016-08-01,FY 2016-17,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,518.5,0.5185
2016-08-01,FY 2016-17,PRD05,Naphtha,Light Distillate,887.2,0.8872
2016-08-01,FY 2016-17,PRD06,Petroleum Coke (Petcoke),Heavy Ends,1084.05,1.084
2016-08-01,FY 2016-17,PRD07,Bitumen,Heavy Ends,362.53,0.3625
2016-08-01,FY 2016-17,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,636.05,0.6361
2016-08-01,FY 2016-17,PRD09,Light Diesel Oil & Lubes,Others,996.64,0.9966
2016-09-01,FY 2016-17,PRD01,High Speed Diesel (HSD),Middle Distillate,5986.32,5.9863
2016-09-01,FY 2016-17,PRD02,Motor Spirit (Petrol / MS),Light Distillate,2179.75,2.1797
2016-09-01,FY 2016-17,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1822.5,1.8225
2016-09-01,FY 2016-17,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,528.84,0.5288
2016-09-01,FY 2016-17,PRD05,Naphtha,Light Distillate,916.99,0.917
2016-09-01,FY 2016-17,PRD06,Petroleum Coke (Petcoke),Heavy Ends,1139.69,1.1397
2016-09-01,FY 2016-17,PRD07,Bitumen,Heavy Ends,619.61,0.6196
2016-09-01,FY 2016-17,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,707.47,0.7075
2016-09-01,FY 2016-17,PRD09,Light Diesel Oil & Lubes,Others,1048.13,1.0481
2016-10-01,FY 2016-17,PRD01,High Speed Diesel (HSD),Middle Distillate,6352.87,6.3529
2016-10-01,FY 2016-17,PRD02,Motor Spirit (Petrol / MS),Light Distillate,2279.86,2.2799
2016-10-01,FY 2016-17,PRD03,Liquefied Petroleum Gas (LPG),Light Distillate,1901.68,1.9017
2016-10-01,FY 2016-17,PRD04,Aviation Turbine Fuel (ATF),Middle Distillate,572.83,0.5728
2016-10-01,FY 2016-17,PRD05,Naphtha,Light Distillate,967.38,0.9674
2016-10-01,FY 2016-17,PRD06,Petroleum Coke (Petcoke),Heavy Ends,1211.2,1.2112
2016-10-01,FY 2016-17,PRD07,Bitumen,Heavy Ends,643.59,0.6436
2016-10-01,FY 2016-17,PRD08,Fuel Oil (FO / LSHS),Heavy Ends,742.2,0.7422
