date,fiscal_year,refinery_id,refinery_name,operator,sector,crude_processed_tmt,capacity_utilization_pct
2014-05-01,FY 2014-15,REF05,IOCL Haldia,IOCL,PSU,617.98,98.88
2014-05-01,FY 2014-15,REF06,IOCL Barauni,IOCL,PSU,518.64,103.73
2014-05-01,FY 2014-15,REF07,IOCL Bongaigaon,IOCL,PSU,212.26,108.39
2014-05-01,FY 2014-15,REF08,IOCL Guwahati,IOCL,PSU,86.14,103.36
2014-05-01,FY 2014-15,REF09,IOCL Digboi,IOCL,PSU,57.11,105.43
2014-05-01,FY 2014-15,REF10,BPCL Kochi,BPCL,PSU,1346.97,104.28
2014-05-01,FY 2014-15,REF11,BPCL Mumbai,BPCL,PSU,1030.29,103.03
2014-05-01,FY 2014-15,REF12,HPCL Mumbai,HPCL,PSU,843.35,106.53
2014-05-01,FY 2014-15,REF13,HPCL Visakhapatnam,HPCL,PSU,949.62,103.59
2014-05-01,FY 2014-15,REF14,CPCL Manali (Chennai),CPCL (IOCL),PSU,877.9,100.33
2014-05-01,FY 2014-15,REF15,MRPL Mangalore,MRPL (ONGC),PSU,1269.84,101.59
2014-05-01,FY 2014-15,REF16,NRL Numaligarh,NRL (OIL),PSU,256.19,102.47
2014-05-01,FY 2014-15,REF17,HMEL Bathinda (GGSR),HMEL (HPCL-Mittal),JV,968.22,102.82
2014-05-01,FY 2014-15,REF18,BORL Bina,BPCL (BORL),PSU,661.47,101.76
2014-05-01,FY 2014-15,REF19,Reliance Jamnagar (DTA),Reliance Industries,Private,2973.83,108.14
2014-05-01,FY 2014-15,REF20,Reliance Jamnagar (SEZ Export),Reliance Industries,Private,3224.8,109.94
2014-05-01,FY 2014-15,REF21,Nayara Energy (Vadinar),Nayara Energy,Private,1908.16,114.49
2014-06-01,FY 2014-15,REF01,IOCL Panipat,IOCL,PSU,1274.97,102.0
2014-06-01,FY 2014-15,REF02,IOCL Koyali (Gujarat),IOCL,PSU,1225.12,107.31
2014-06-01,FY 2014-15,REF03,IOCL Paradip,IOCL,PSU,1292.89,103.43
2014-06-01,FY 2014-15,REF04,IOCL Mathura,IOCL,PSU,678.31,101.75
2014-06-01,FY 2014-15,REF05,IOCL Haldia,IOCL,PSU,620.09,99.21
2014-06-01,FY 2014-15,REF06,IOCL Barauni,IOCL,PSU,508.88,101.78
2014-06-01,FY 2014-15,REF07,IOCL Bongaigaon,IOCL,PSU,198.83,101.53
2014-06-01,FY 2014-15,REF08,IOCL Guwahati,IOCL,PSU,81.83,98.2
2014-06-01,FY 2014-15,REF09,IOCL Digboi,IOCL,PSU,53.5,98.76
2014-06-01,FY 2014-15,REF10,BPCL Kochi,BPCL,PSU,1324.07,102.51
2014-06-01,FY 2014-15,REF11,BPCL Mumbai,BPCL,PSU,1072.62,107.26
2014-06-01,FY 2014-15,REF12,HPCL Mumbai,HPCL,PSU,797.5,100.74
2014-06-01,FY 2014-15,REF13,HPCL Visakhapatnam,HPCL,PSU,872.74,95.21
2014-06-01,FY 2014-15,REF14,CPCL Manali (Chennai),CPCL (IOCL),PSU,806.79,92.2
2014-06-01,FY 2014-15,REF15,MRPL Mangalore,MRPL (ONGC),PSU,1211.44,96.92
2014-06-01,FY 2014-15,REF16,NRL Numaligarh,NRL (OIL),PSU,259.58,103.83
2014-06-01,FY 2014-15,REF17,HMEL Bathinda (GGSR),HMEL (HPCL-Mittal),JV,943.16,100.16
2014-06-01,FY 2014-15,REF18,BORL Bina,BPCL (BORL),PSU,679.18,104.49
2014-06-01,FY 2014-15,REF19,Reliance Jamnagar (DTA),Reliance Industries,Private,3023.64,109.95
2014-06-01,FY 2014-15,REF20,Reliance Jamnagar (SEZ Export),Reliance Industries,Private,3159.27,107.7
2014-06-01,FY 2014-15,REF21,Nayara Energy (Vadinar),Nayara Energy,Private,1723.72,103.42
2014-07-01,FY 2014-15,REF01,IOCL Panipat,IOCL,PSU,1227.9,98.23
2014-07-01,FY 2014-15,REF02,IOCL Koyali (Gujarat),IOCL,PSU,1142.07,100.04
2014-07-01,FY 2014-15,REF03,IOCL Paradip,IOCL,PSU,1280.1,102.41
2014-07-01,FY 2014-15,REF04,IOCL Mathura,IOCL,PSU,639.96,95.99
2014-07-01,FY 2014-15,REF05,IOCL Haldia,IOCL,PSU,667.34,106.78
2014-07-01,FY 2014-15,REF06,IOCL Barauni,IOCL,PSU,511.85,102.37
2014-07-01,FY 2014-15,REF07,IOCL Bongaigaon,IOCL,PSU,201.37,102.83
2014-07-01,FY 2014-15,REF08,IOCL Guwahati,IOCL,PSU,86.31,103.57
2014-07-01,FY 2014-15,REF09,IOCL Digboi,IOCL,PSU,57.59,106.32
2014-07-01,FY 2014-15,REF10,BPCL Kochi,BPCL,PSU,1314.74,101.79
2014-07-01,FY 2014-15,REF11,BPCL Mumbai,BPCL,PSU,1038.36,103.84
2014-07-01,FY 2014-15,REF12,HPCL Mumbai,HPCL,PSU,778.16,98.29
2014-07-01,FY 2014-15,REF13,HPCL Visakhapatnam,HPCL,PSU,991.87,108.2
2014-07-01,FY 2014-15,REF14,CPCL Manali (Chennai),CPCL (IOCL),PSU,888.23,101.51
2014-07-01,FY 2014-15,REF15,MRPL Mangalore,MRPL (ONGC),PSU,1228.45,98.28
2014-07-01,FY 2014-15,REF16,NRL Numaligarh,NRL (OIL),PSU,161.22,64.49
2014-07-01,FY 2014-15,REF17,HMEL Bathinda (GGSR),HMEL (HPCL-Mittal),JV,925.95,98.33
2014-07-01,FY 2014-15,REF18,BORL Bina,BPCL (BORL),PSU,644.74,99.19
2014-07-01,FY 2014-15,REF19,Reliance Jamnagar (DTA),Reliance Industries,Private,2770.03,100.73
2014-07-01,FY 2014-15,REF20,Reliance Jamnagar (SEZ Export),Reliance Industries,Private,3237.15,110.36
2014-07-01,FY 2014-15,REF21,Nayara Energy (Vadinar),Nayara Energy,Private,1821.27,109.28
2014-08-01,FY 2014-15,REF01,IOCL Panipat,IOCL,PSU,1214.15,97.13
2014-08-01,FY 2014-15,REF02,IOCL Koyali (Gujarat),IOCL,PSU,1150.9,100.81
2014-08-01,FY 2014-15,REF03,IOCL Paradip,IOCL,PSU,1262.32,100.99
2014-08-01,FY 2014-15,REF04,IOCL Mathura,IOCL,PSU,642.44,96.37
2014-08-01,FY 2014-15,REF05,IOCL Haldia,IOCL,PSU,625.73,100.12
2014-08-01,FY 2014-15,REF06,IOCL Barauni,IOCL,PSU,505.54,101.11
2014-08-01,FY 2014-15,REF07,IOCL Bongaigaon,IOCL,PSU,195.86,100.01
2014-08-01,FY 2014-15,REF08,IOCL Guwahati,IOCL,PSU,81.89,98.27
2014-08-01,FY 2014-15,REF09,IOCL Digboi,IOCL,PSU,52.54,96.99
2014-08-01,FY 2014-15,REF10,BPCL Kochi,BPCL,PSU,1290.06,99.88
2014-08-01,FY 2014-15,REF11,BPCL Mumbai,BPCL,PSU,987.15,98.72
2014-08-01,FY 2014-15,REF12,HPCL Mumbai,HPCL,PSU,817.72,103.29
2014-08-01,FY 2014-15,REF13,HPCL Visakhapatnam,HPCL,PSU,977.14,106.6
2014-08-01,FY 2014-15,REF14,CPCL Manali (Chennai),CPCL (IOCL),PSU,916.11,104.7
2014-08-01,FY 2014-15,REF15,MRPL Mangalore,MRPL (ONGC),PSU,1265.48,101.24
2014-08-01,FY 2014-15,REF16,NRL Numaligarh,NRL (OIL),PSU,246.03,98.41
2014-08-01,FY 2014-15,REF17,HMEL Bathinda (GGSR),HMEL (HPCL-Mittal),JV,1004.62,106.69
2014-08-01,FY 2014-15,REF18,BORL Bina,BPCL (BORL),PSU,673.01,103.54
2014-08-01,FY 2014-15,REF19,Reliance Jamnagar (DTA),Reliance Industries,Private,3078.69,111.95
2014-08-01,FY 2014-15,REF20,Reliance Jamnagar (SEZ Export),Reliance Industries,Private,3185.39,108.59
2014-08-01,FY 2014-15,REF21,Nayara Energy (Vadinar),Nayara Energy,Private,1886.8,113.21
2014-09-01,FY 2014-15,REF01,IOCL Panipat,IOCL,PSU,1272.4,101.79
2014-09-01,FY 2014-15,REF02,IOCL Koyali (Gujarat),IOCL,PSU,1123.34,98.39
2014-09-01,FY 2014-15,REF03,IOCL Paradip,IOCL,PSU,1238.31,99.06
2014-09-01,FY 2014-15,REF04,IOCL Mathura,IOCL,PSU,687.28,103.09
2014-09-01,FY 2014-15,REF05,IOCL Haldia,IOCL,PSU,616.91,98.71
2014-09-01,FY 2014-15,REF06,IOCL Barauni,IOCL,PSU,539.55,107.91
2014-09-01,FY 2014-15,REF07,IOCL Bongaigaon,IOCL,PSU,201.21,102.75
2014-09-01,FY 2014-15,REF08,IOCL Guwahati,IOCL,PSU,84.29,101.15
2014-09-01,FY 2014-15,REF09,IOCL Digboi,IOCL,PSU,54.97,101.48
2014-09-01,FY 2014-15,REF10,BPCL Kochi,BPCL,PSU,1291.29,99.97
2014-09-01,FY 2014-15,REF11,BPCL Mumbai,BPCL,PSU,943.26,94.33
2014-09-01,FY 2014-15,REF12,HPCL Mumbai,HPCL,PSU,784.28,99.07
2014-09-01,FY 2014-15,REF13,HPCL Visakhapatnam,HPCL,PSU,983.55,107.3
2014-09-01,FY 2014-15,REF14,CPCL Manali (Chennai),CPCL (IOCL),PSU,891.61,101.9
2014-09-01,FY 2014-15,REF15,MRPL Mangalore,MRPL (ONGC),PSU,1314.85,105.19
2014-09-01,FY 2014-15,REF16,NRL Numaligarh,NRL (OIL),PSU,263.29,105.31
2014-09-01,FY 2014-15,REF17,HMEL Bathinda (GGSR),HMEL (HPCL-Mittal),JV,978.25,103.88
2014-09-01,FY 2014-15,REF18,BORL Bina,BPCL (BORL),PSU,673.46,103.61
2014-09-01,FY 2014-15,REF19,Reliance Jamnagar (DTA),Reliance Industries,Private,2839.95,103.27
2014-09-01,FY 2014-15,REF20,Reliance Jamnagar (SEZ Export),Reliance Industries,Private,3297.94,112.43
2014-09-01,FY 2014-15,REF21,Nayara Energy (Vadinar),Nayara Energy,Private,1869.0,112.14
2014-10-01,FY 2014-15,REF01,IOCL Panipat,IOCL,PSU,1287.2,102.98
2014-10-01,FY 2014-15,REF02,IOCL Koyali (Gujarat),IOCL,PSU,1164.99,102.04
2014-10-01,FY 2014-15,REF03,IOCL Paradip,IOCL,PSU,1261.22,100.9
2014-10-01,FY 2014-15,REF04,IOCL Mathura,IOCL,PSU,704.61,105.69
2014-10-01,FY 2014-15,REF05,IOCL Haldia,IOCL,PSU,650.54,104.09
2014-10-01,FY 2014-15,REF06,IOCL Barauni,IOCL,PSU,448.03,89.61
2014-10-01,FY 2014-15,REF07,IOCL Bongaigaon,IOCL,PSU,194.95,99.55
2014-10-01,FY 2014-15,REF08,IOCL Guwahati,IOCL,PSU,80.43,96.52
2014-10-01,FY 2014-15,REF09,IOCL Digboi,IOCL,PSU,51.9,95.82
2014-10-01,FY 2014-15,REF10,BPCL Kochi,BPCL,PSU,1364.56,105.64
2014-10-01,FY 2014-15,REF11,BPCL Mumbai,BPCL,PSU,1008.12,100.81
2014-10-01,FY 2014-15,REF12,HPCL Mumbai,HPCL,PSU,814.69,102.91
2014-10-01,FY 2014-15,REF13,HPCL Visakhapatnam,HPCL,PSU,928.65,101.31
2014-10-01,FY 2014-15,REF14,CPCL Manali (Chennai),CPCL (IOCL),PSU,838.85,95.87
2014-10-01,FY 2014-15,REF15,MRPL Mangalore,MRPL (ONGC),PSU,1184.67,94.77
2014-10-01,FY 2014-15,REF16,NRL Numaligarh,NRL (OIL),PSU,248.22,99.29
2014-10-01,FY 2014-15,REF17,HMEL Bathinda (GGSR),HMEL (HPCL-Mittal),JV,969.48,102.95
2014-10-01,FY 2014-15,REF18,BORL Bina,BPCL (BORL),PSU,647.42,99.6
2014-10-01,FY 2014-15,REF19,Reliance Jamnagar (DTA),Reliance Industries,Private,2943.47,107.04
2014-10-01,FY 2014-15,REF20,Reliance Jamnagar (SEZ Export),Reliance Industries,Private,3350.75,114.23
2014-10-01,FY 2014-15,REF21,Nayara Energy (Vadinar),Nayara Energy,Private,1851.51,111.09
2014-11-01,FY 2014-15,REF01,IOCL Panipat,IOCL,PSU,1274.44,101.96
2014-11-01,FY 2014-15,REF02,IOCL Koyali (Gujarat),IOCL,PSU,1149.81,100.71
2014-11-01,FY 2014-15,REF03,IOCL Paradip,IOCL,PSU,1260.64,100.85
2014-11-01,FY 2014-15,REF04,IOCL Mathura,IOCL,PSU,692.87,103.93
2014-11-01,FY 2014-15,REF05,IOCL Haldia,IOCL,PSU,629.23,100.68
2014-11-01,FY 2014-15,REF06,IOCL Barauni,IOCL,PSU,523.33,104.67
2014-11-01,FY 2014-15,REF07,IOCL Bongaigaon,IOCL,PSU,200.51,102.39
2014-11-01,FY 2014-15,REF08,IOCL Guwahati,IOCL,PSU,91.13,109.35
2014-11-01,FY 2014-15,REF09,IOCL Digboi,IOCL,PSU,54.41,100.44
2014-11-01,FY 2014-15,REF10,BPCL Kochi,BPCL,PSU,1361.84,105.43
2014-11-01,FY 2014-15,REF11,BPCL Mumbai,BPCL,PSU,968.4,96.84
2014-11-01,FY 2014-15,REF12,HPCL Mumbai,HPCL,PSU,779.83,98.5
2014-11-01,FY 2014-15,REF13,HPCL Visakhapatnam,HPCL,PSU,996.01,108.66
2014-11-01,FY 2014-15,REF14,CPCL Manali (Chennai),CPCL (IOCL),PSU,914.2,104.48
2014-11-01,FY 2014-15,REF15,MRPL Mangalore,MRPL (ONGC),PSU,1287.28,102.98
2014-11-01,FY 2014-15,REF16,NRL Numaligarh,NRL (OIL),PSU,276.53,110.61
2014-11-01,FY 2014-15,REF17,HMEL Bathinda (GGSR),HMEL (HPCL-Mittal),JV,977.71,103.83
2014-11-01,FY 2014-15,REF18,BORL Bina,BPCL (BORL),PSU,685.24,105.42
2014-11-01,FY 2014-15,REF19,Reliance Jamnagar (DTA),Reliance Industries,Private,3067.93,111.56
2014-11-01,FY 2014-15,REF20,Reliance Jamnagar (SEZ Export),Reliance Industries,Private,3311.74,112.9
2014-11-01,FY 2014-15,REF21,Nayara Energy (Vadinar),Nayara Energy,Private,1742.68,104.56
2014-12-01,FY 2014-15,REF01,IOCL Panipat,IOCL,PSU,1259.29,100.74
2014-12-01,FY 2014-15,REF02,IOCL Koyali (Gujarat),IOCL,PSU,1168.1,102.32
2014-12-01,FY 2014-15,REF03,IOCL Paradip,IOCL,PSU,1343.19,107.45
2014-12-01,FY 2014-15,REF04,IOCL Mathura,IOCL,PSU,685.43,102.81
2014-12-01,FY 2014-15,REF05,IOCL Haldia,IOCL,PSU,660.99,105.76
2014-12-01,FY 2014-15,REF06,IOCL Barauni,IOCL,PSU,480.45,96.09
2014-12-01,FY 2014-15,REF07,IOCL Bongaigaon,IOCL,PSU,195.46,99.81
2014-12-01,FY 2014-15,REF08,IOCL Guwahati,IOCL,PSU,88.75,106.5
2014-12-01,FY 2014-15,REF09,IOCL Digboi,IOCL,PSU,54.33,100.31
2014-12-01,FY 2014-15,REF10,BPCL Kochi,BPCL,PSU,1305.39,101.06
2014-12-01,FY 2014-15,REF11,BPCL Mumbai,BPCL,PSU,1073.78,107.38
2014-12-01,FY 2014-15,REF12,HPCL Mumbai,HPCL,PSU,772.76,97.61
2014-12-01,FY 2014-15,REF13,HPCL Visakhapatnam,HPCL,PSU,902.4,98.44
2014-12-01,FY 2014-15,REF14,CPCL Manali (Chennai),CPCL (IOCL),PSU,837.44,95.71
2014-12-01,FY 2014-15,REF15,MRPL Mangalore,MRPL (ONGC),PSU,1344.6,107.57
2014-12-01,FY 2014-15,REF16,NRL Numaligarh,NRL (OIL),PSU,262.6,105.04
2014-12-01,FY 2014-15,REF17,HMEL Bathinda (GGSR),HMEL (HPCL-Mittal),JV,1007.07,106.95
2014-12-01,FY 2014-15,REF18,BORL Bina,BPCL (BORL),PSU,648.05,99.7
2014-12-01,FY 2014-15,REF19,Reliance Jamnagar (DTA),Reliance Industries,Private,2855.36,103.83
2014-12-01,FY 2014-15,REF20,Reliance Jamnagar (SEZ Export),Reliance Industries,Private,3023.2,103.06
2014-12-01,FY 2014-15,REF21,Nayara Energy (Vadinar),Nayara Energy,Private,1869.21,112.15
2015-01-01,FY 2014-15,REF01,IOCL Panipat,IOCL,PSU,1290.7,103.26
2015-01-01,FY 2014-15,REF02,IOCL Koyali (Gujarat),IOCL,PSU,1187.74,104.04
2015-01-01,FY 2014-15,REF03,IOCL Paradip,IOCL,PSU,1276.56,102.12
2015-01-01,FY 2014-15,REF04,IOCL Mathura,IOCL,PSU,653.23,97.98
2015-01-01,FY 2014-15,REF05,IOCL Haldia,IOCL,PSU,624.23,99.88
2015-01-01,FY 2014-15,REF06,IOCL Barauni,IOCL,PSU,485.23,97.05
2015-01-01,FY 2014-15,REF07,IOCL Bongaigaon,IOCL,PSU,189.15,96.59
2015-01-01,FY 2014-15,REF08,IOCL Guwahati,IOCL,PSU,87.23,104.67
2015-01-01,FY 2014-15,REF09,IOCL Digboi,IOCL,PSU,51.31,94.72
2015-01-01,FY 2014-15,REF10,BPCL Kochi,BPCL,PSU,1253.82,97.07
2015-01-01,FY 2014-15,REF11,BPCL Mumbai,BPCL,PSU,1001.01,100.1
2015-01-01,FY 2014-15,REF12,HPCL Mumbai,HPCL,PSU,802.92,101.42
2015-01-01,FY 2014-15,REF13,HPCL Visakhapatnam,HPCL,PSU,876.92,95.66
2015-01-01,FY 2014-15,REF14,CPCL Manali (Chennai),CPCL (IOCL),PSU,828.0,94.63
2015-01-01,FY 2014-15,REF15,MRPL Mangalore,MRPL (ONGC),PSU,1284.52,102.76
2015-01-01,FY 2014-15,REF16,NRL Numaligarh,NRL (OIL),PSU,254.74,101.9
2015-01-01,FY 2014-15,REF17,HMEL Bathinda (GGSR),HMEL (HPCL-Mittal),JV,1017.87,108.09
2015-01-01,FY 2014-15,REF18,BORL Bina,BPCL (BORL),PSU,659.68,101.49
2015-01-01,FY 2014-15,REF19,Reliance Jamnagar (DTA),Reliance Industries,Private,3014.82,109.63
2015-01-01,FY 2014-15,REF20,Reliance Jamnagar (SEZ Export),Reliance Industries,Private,3106.22,105.89
2015-01-01,FY 2014-15,REF21,Nayara Energy (Vadinar),Nayara Energy,Private,1766.85,106.01
2015-02-01,FY 2014-15,REF01,IOCL Panipat,IOCL,PSU,1200.31,96.02
2015-02-01,FY 2014-15,REF02,IOCL Koyali (Gujarat),IOCL,PSU,1121.44,98.23
2015-02-01,FY 2014-15,REF03,IOCL Paradip,IOCL,PSU,1247.75,99.82
2015-02-01,FY 2014-15,REF04,IOCL Mathura,IOCL,PSU,706.61,105.99
2015-02-01,FY 2014-15,REF05,IOCL Haldia,IOCL,PSU,610.37,97.66
2015-02-01,FY 2014-15,REF06,IOCL Barauni,IOCL,PSU,547.9,109.58
2015-02-01,FY 2014-15,REF07,IOCL Bongaigaon,IOCL,PSU,202.76,103.54
2015-02-01,FY 2014-15,REF08,IOCL Guwahati,IOCL,PSU,85.55,102.66
2015-02-01,FY 2014-15,REF09,IOCL Digboi,IOCL,PSU,54.8,101.18
2015-02-01,FY 2014-15,REF10,BPCL Kochi,BPCL,PSU,1296.99,100.41
2015-02-01,FY 2014-15,REF11,BPCL Mumbai,BPCL,PSU,987.7,98.77
2015-02-01,FY 2014-15,REF12,HPCL Mumbai,HPCL,PSU,756.21,95.52
2015-02-01,FY 2014-15,REF13,HPCL Visakhapatnam,HPCL,PSU,896.37,97.79
2015-02-01,FY 2014-15,REF14,CPCL Manali (Chennai),CPCL (IOCL),PSU,941.12,107.56
2015-02-01,FY 2014-15,REF15,MRPL Mangalore,MRPL (ONGC),PSU,1290.95,103.28
2015-02-01,FY 2014-15,REF16,NRL Numaligarh,NRL (OIL),PSU,268.78,107.51
2015-02-01,FY 2014-15,REF17,HMEL Bathinda (GGSR),HMEL (HPCL-Mittal),JV,962.9,102.25
2015-02-01,FY 2014-15,REF18,BORL Bina,BPCL (BORL),PSU,630.12,96.94
2015-02-01,FY 2014-15,REF19,Reliance Jamnagar (DTA),Reliance Industries,Private,2972.81,108.1
2015-02-01,FY 2014-15,REF20,Reliance Jamnagar (SEZ Export),Reliance Industries,Private,3100.24,105.69
2015-02-01,FY 2014-15,REF21,Nayara Energy (Vadinar),Nayara Energy,Private,1811.69,108.7
2015-03-01,FY 2014-15,REF01,IOCL Panipat,IOCL,PSU,1184.71,94.78
2015-03-01,FY 2014-15,REF02,IOCL Koyali (Gujarat),IOCL,PSU,1062.04,93.03
2015-03-01,FY 2014-15,REF03,IOCL Paradip,IOCL,PSU,1281.2,102.5
2015-03-01,FY 2014-15,REF04,IOCL Mathura,IOCL,PSU,717.94,107.69
2015-03-01,FY 2014-15,REF05,IOCL Haldia,IOCL,PSU,641.73,102.68
2015-03-01,FY 2014-15,REF06,IOCL Barauni,IOCL,PSU,516.17,103.23
2015-03-01,FY 2014-15,REF07,IOCL Bongaigaon,IOCL,PSU,198.39,101.3
2015-03-01,FY 2014-15,REF08,IOCL Guwahati,IOCL,PSU,84.73,101.68
2015-03-01,FY 2014-15,REF09,IOCL Digboi,IOCL,PSU,51.65,95.35
2015-03-01,FY 2014-15,REF10,BPCL Kochi,BPCL,PSU,1266.58,98.06
2015-03-01,FY 2014-15,REF11,BPCL Mumbai,BPCL,PSU,1059.44,105.94
2015-03-01,FY 2014-15,REF12,HPCL Mumbai,HPCL,PSU,764.99,96.63
2015-03-01,FY 2014-15,REF13,HPCL Visakhapatnam,HPCL,PSU,914.23,99.73
2015-03-01,FY 2014-15,REF14,CPCL Manali (Chennai),CPCL (IOCL),PSU,926.21,105.85
2015-03-01,FY 2014-15,REF15,MRPL Mangalore,MRPL (ONGC),PSU,1269.59,101.57
2015-03-01,FY 2014-15,REF16,NRL Numaligarh,NRL (OIL),PSU,254.42,101.77
2015-03-01,FY 2014-15,REF17,HMEL Bathinda (GGSR),HMEL (HPCL-Mittal),JV,970.6,103.07
2015-03-01,FY 2014-15,REF18,BORL Bina,BPCL (BORL),PSU,674.91,103.83
2015-03-01,FY 2014-15,REF19,Reliance Jamnagar (DTA),Reliance Industries,Private,3048.93,110.87
2015-03-01,FY 2014-15,REF20,Reliance Jamnagar (SEZ Export),Reliance Industries,Private,3098.83,105.64
2015-03-01,FY 2014-15,REF21,Nayara Energy (Vadinar),Nayara Energy,Private,1733.44,104.01
2015-04-01,FY 2015-16,REF01,IOCL Panipat,IOCL,PSU,1170.69,93.66
2015-04-01,FY 2015-16,REF02,IOCL Koyali (Gujarat),IOCL,PSU,1176.28,103.03
2015-04-01,FY 2015-16,REF03,IOCL Paradip,IOCL,PSU,1281.93,102.55
2015-04-01,FY 2015-16,REF04,IOCL Mathura,IOCL,PSU,739.81,110.97
2015-04-01,FY 2015-16,REF05,IOCL Haldia,IOCL,PSU,633.3,101.33
2015-04-01,FY 2015-16,REF06,IOCL Barauni,IOCL,PSU,503.02,100.6
2015-04-01,FY 2015-16,REF07,IOCL Bongaigaon,IOCL,PSU,199.89,102.07
2015-04-01,FY 2015-16,REF08,IOCL Guwahati,IOCL,PSU,85.24,102.29
2015-04-01,FY 2015-16,REF09,IOCL Digboi,IOCL,PSU,54.33,100.3
2015-04-01,FY 2015-16,REF10,BPCL Kochi,BPCL,PSU,1265.54,97.98
2015-04-01,FY 2015-16,REF11,BPCL Mumbai,BPCL,PSU,1011.13,101.11
2015-04-01,FY 2015-16,REF12,HPCL Mumbai,HPCL,PSU,799.29,100.96
2015-04-01,FY 2015-16,REF13,HPCL Visakhapatnam,HPCL,PSU,924.92,100.9
2015-04-01,FY 2015-16,REF14,CPCL Manali (Chennai),CPCL (IOCL),PSU,912.37,104.27
2015-04-01,FY 2015-16,REF15,MRPL Mangalore,MRPL (ONGC),PSU,1263.02,101.04
2015-04-01,FY 2015-16,REF16,NRL Numaligarh,NRL (OIL),PSU,239.38,95.75
2015-04-01,FY 2015-16,REF17,HMEL Bathinda (GGSR),HMEL (HPCL-Mittal),JV,962.11,102.17
2015-04-01,FY 2015-16,REF18,BORL Bina,BPCL (BORL),PSU,651.64,100.25
2015-04-01,FY 2015-16,REF19,Reliance Jamnagar (DTA),Reliance Industries,Private,2974.67,108.17
2015-04-01,FY 2015-16,REF20,Reliance Jamnagar (SEZ Export),Reliance Industries,Private,3214.61,109.59
2015-04-01,FY 2015-16,REF21,Nayara Energy (Vadinar),Nayara Energy,Private,1803.22,108.19
2015-05-01,FY 2015-16,REF01,IOCL Panipat,IOCL,PSU,1163.73,93.1
2015-05-01,FY 2015-16,REF02,IOCL Koyali (Gujarat),IOCL,PSU,1097.84,96.16
2015-05-01,FY 2015-16,REF03,IOCL Paradip,IOCL,PSU,1292.5,103.4
2015-05-01,FY 2015-16,REF04,IOCL Mathura,IOCL,PSU,667.64,100.15
2015-05-01,FY 2015-16,REF05,IOCL Haldia,IOCL,PSU,668.52,106.96
2015-05-01,FY 2015-16,REF06,IOCL Barauni,IOCL,PSU,507.97,101.59
2015-05-01,FY 2015-16,REF07,IOCL Bongaigaon,IOCL,PSU,195.15,99.65
2015-05-01,FY 2015-16,REF08,IOCL Guwahati,IOCL,PSU,82.12,98.55
2015-05-01,FY 2015-16,REF09,IOCL Digboi,IOCL,PSU,54.05,99.79
2015-05-01,FY 2015-16,REF10,BPCL Kochi,BPCL,PSU,1312.88,101.64
