date,fiscal_year,indian_crude_basket_usd_per_bbl,usd_inr_exchange_rate,domestic_crude_production_mmt,refinery_crude_intake_mmt,crude_oil_imports_mmt,crude_import_dependency_pct,crude_import_bill_usd_million,crude_import_bill_inr_crore,product_exports_mmt,product_exports_usd_million,product_imports_mmt,product_imports_usd_million,net_oil_trade_balance_usd_million
2015-07-01,FY 2015-16,59.48,63.79,2.778,18.993,16.365,86.16,7134.95,45513.85,5.084,2820.86,2.429,1180.14,-5494.23
2015-08-01,FY 2015-16,60.47,62.95,2.83,19.063,16.383,85.94,7261.68,45712.28,5.097,2865.92,2.609,1286.2,-5681.96
2015-09-01,FY 2015-16,55.59,64.26,2.85,19.445,16.745,86.11,6823.16,43845.63,4.799,2522.71,2.539,1162.48,-5462.93
2015-10-01,FY 2015-16,52.45,63.59,2.852,19.263,16.561,85.97,6367.02,40487.88,4.514,2266.59,2.614,1137.72,-5238.15
2015-11-01,FY 2015-16,49.58,64.03,2.744,19.502,16.908,86.7,6144.73,39344.71,5.095,2448.66,2.618,1085.36,-4781.43
2015-12-01,FY 2015-16,51.91,64.23,2.759,19.059,16.45,86.31,6259.23,40203.03,5.02,2500.34,2.646,1141.36,-4900.25
2016-01-01,FY 2015-16,39.05,64.94,2.719,19.586,17.017,86.88,4870.89,31631.56,4.797,1926.6,2.68,907.88,-3852.17
2016-02-01,FY 2015-16,37.78,64.22,2.763,18.578,15.965,85.93,4421.15,28392.63,4.684,1836.6,2.602,857.66,-3442.21
2016-03-01,FY 2015-16,39.7,64.66,2.666,19.175,16.659,86.88,4847.79,31345.81,5.012,2037.38,2.688,923.17,-3733.58
2016-04-01,FY 2016-17,40.78,65.46,2.76,19.236,16.626,86.43,4969.8,32532.31,4.918,2039.0,2.5,878.04,-3808.84
2016-05-01,FY 2016-17,41.87,65.63,2.77,19.921,17.301,86.85,5309.8,34848.22,4.921,2080.48,2.785,999.99,-4229.31
2016-06-01,FY 2016-17,42.97,65.96,2.73,19.752,17.172,86.94,5408.67,35675.59,5.195,2239.17,2.641,969.2,-4138.7
2016-07-01,FY 2016-17,44.66,66.08,2.72,19.184,16.614,86.6,5438.72,35939.06,5.301,2352.05,2.623,994.52,-4081.19
2016-08-01,FY 2016-17,45.79,66.21,2.691,19.318,16.777,86.85,5631.04,37283.12,5.025,2272.18,2.501,968.61,-4327.47
2016-09-01,FY 2016-17,46.45,66.04,2.704,19.197,16.643,86.7,5666.58,37422.09,5.232,2391.68,2.7,1058.51,-4333.41
2016-10-01,FY 2016-17,49.72,66.02,2.668,19.781,17.263,87.27,6291.46,41536.22,4.968,2392.84,2.582,1073.04,-4971.66
2016-11-01,FY 2016-17,50.96,66.06,2.616,20.138,17.672,87.75,6601.14,43607.13,4.931,2420.87,2.649,1124.53,-5304.8
2016-12-01,FY 2016-17,48.28,67.2,2.639,19.798,17.309,87.43,6125.52,41163.49,5.15,2424.88,2.762,1119.21,-4819.85
2017-01-01,FY 2016-17,53.03,66.01,2.658,19.876,17.368,87.38,6751.11,44564.08,4.902,2482.74,2.75,1208.39,-5476.76
2017-02-01,FY 2016-17,55.02,67.26,2.633,20.519,18.036,87.9,7273.86,48923.98,5.142,2681.04,2.74,1243.26,-5836.08
2017-03-01,FY 2016-17,56.61,68.01,2.618,19.832,17.364,87.56,7205.21,49002.63,4.677,2494.36,2.769,1288.12,-5998.97
2017-04-01,FY 2017-18,56.84,67.23,2.652,19.325,16.823,87.05,7009.09,47122.11,5.096,2726.61,2.906,1356.66,-5639.14
2017-05-01,FY 2017-18,56.79,67.61,2.602,20.117,17.665,87.81,7353.42,49716.47,4.988,2666.96,2.694,1256.72,-5943.18
2017-06-01,FY 2017-18,57.69,67.47,2.695,19.626,17.081,87.03,7223.0,48733.58,4.994,2703.88,2.776,1312.96,-5832.08
2017-07-01,FY 2017-18,58.38,68.53,2.629,19.859,17.38,87.52,7437.34,50968.09,4.913,2685.45,2.97,1419.47,-6171.36
2017-08-01,FY 2017-18,61.46,67.63,2.722,20.16,17.588,87.24,7923.43,53586.16,5.105,2908.32,2.766,1383.31,-6398.42
2017-09-01,FY 2017-18,61.0,68.32,2.635,20.685,18.2,87.99,8137.77,55597.24,4.883,2765.0,2.964,1472.52,-6845.29
2017-10-01,FY 2017-18,62.87,68.49,2.699,19.991,17.442,87.25,8037.92,55051.71,5.21,3023.23,2.549,1300.66,-6315.35
2017-11-01,FY 2017-18,63.24,68.19,2.59,20.156,17.716,87.89,8212.24,55999.26,5.145,2999.79,2.9,1487.49,-6699.94
2017-12-01,FY 2017-18,65.49,68.48,2.667,20.297,17.78,87.6,8535.14,58448.64,5.234,3140.01,2.918,1544.0,-6939.13
2018-01-01,FY 2017-18,73.4,68.58,2.611,20.135,17.674,87.78,9509.0,65212.72,5.053,3331.19,2.877,1686.15,-7863.96
2018-02-01,FY 2017-18,74.5,69.1,2.64,20.383,17.893,87.78,9771.1,67518.3,5.029,3356.86,2.767,1643.6,-8057.84
2018-03-01,FY 2017-18,68.46,69.03,2.658,20.169,17.661,87.57,8862.5,61177.84,5.078,3159.53,2.917,1605.84,-7308.81
2018-04-01,FY 2018-19,67.6,69.07,2.68,20.758,18.228,87.81,9032.12,62384.85,4.951,3048.58,2.798,1523.01,-7506.55
2018-05-01,FY 2018-19,67.59,69.63,2.514,20.04,17.676,88.2,8757.3,60977.08,5.089,3133.17,2.774,1509.74,-7133.87
2018-06-01,FY 2018-19,68.39,69.89,2.694,20.413,17.869,87.54,8957.71,62605.44,5.294,3291.15,3.043,1673.67,-7340.23
2018-07-01,FY 2018-19,74.35,70.18,2.518,20.678,18.31,88.55,9978.68,70030.38,5.297,3529.79,2.902,1720.65,-8169.54
2018-08-01,FY 2018-19,76.05,70.59,2.64,20.906,18.416,88.09,10265.93,72467.2,5.197,3529.41,2.671,1616.38,-8352.9
2018-09-01,FY 2018-19,71.05,70.92,2.567,20.553,18.136,88.24,9445.17,66985.15,4.997,3206.2,3.108,1768.95,-8007.92
2018-10-01,FY 2018-19,69.84,70.27,2.61,20.456,17.996,87.97,9212.64,64737.22,5.252,3322.15,2.991,1676.3,-7566.79
2018-11-01,FY 2018-19,66.97,70.95,2.745,20.392,17.797,87.27,8736.37,61984.55,4.91,3000.13,2.911,1571.31,-7307.55
2018-12-01,FY 2018-19,65.97,70.4,2.543,20.463,18.07,88.31,8737.93,61515.03,5.03,3035.73,3.012,1604.14,-7306.34
2019-01-01,FY 2018-19,64.47,71.12,2.633,20.55,18.067,87.92,8537.83,60721.05,5.14,3044.29,3.007,1569.0,-7062.54
2019-02-01,FY 2018-19,60.84,70.42,2.601,20.968,18.517,88.31,8257.79,58151.36,5.496,3105.51,2.996,1484.96,-6637.24
2019-03-01,FY 2018-19,63.0,71.48,2.594,21.36,18.916,88.56,8735.22,62439.35,4.875,2833.59,3.031,1549.45,-7451.08
2019-04-01,FY 2019-20,65.26,71.86,2.658,20.711,18.203,87.89,8707.51,62572.17,5.195,3107.65,3.003,1584.0,-7183.86
2019-05-01,FY 2019-20,61.91,71.47,2.516,21.187,18.821,88.83,8540.98,61042.38,5.337,3058.5,3.042,1531.2,-7013.68
2019-06-01,FY 2019-20,66.91,72.06,2.626,20.983,18.507,88.2,9076.76,65407.13,5.222,3188.42,2.993,1614.28,-7502.62
2019-07-01,FY 2019-20,66.33,72.14,2.61,20.68,18.22,88.1,8858.54,63905.51,5.055,3064.47,3.099,1658.51,-7452.58
2019-08-01,FY 2019-20,63.6,72.32,2.601,20.878,18.427,88.26,8590.45,62126.13,5.197,3044.14,3.18,1639.35,-7185.66
2019-09-01,FY 2019-20,64.02,73.32,2.538,21.469,19.081,88.88,8954.08,65651.31,5.091,2998.09,2.959,1534.37,-7490.36
2019-10-01,FY 2019-20,59.5,73.54,2.504,21.102,18.748,88.84,8176.66,60131.16,5.103,2832.16,3.13,1521.18,-6865.68
2019-11-01,FY 2019-20,63.56,72.54,2.565,20.75,18.335,88.36,8542.18,61964.97,5.121,2998.09,2.859,1473.05,-7017.14
2019-12-01,FY 2019-20,63.98,73.32,2.44,20.776,18.486,88.98,8669.44,63564.33,5.253,3091.92,3.026,1568.24,-7145.76
2020-01-01,FY 2019-20,45.19,74.17,2.49,21.427,19.087,89.08,6322.43,46893.46,5.372,2404.91,3.03,1160.39,-5077.91
2020-02-01,FY 2019-20,41.81,73.62,2.521,21.169,18.798,88.8,5760.97,42412.26,5.333,2252.26,3.025,1084.86,-4593.57
2020-03-01,FY 2019-20,21.12,73.86,2.544,20.987,18.593,88.59,2878.37,21259.64,5.413,1446.08,2.933,614.94,-2047.23
2020-04-01,FY 2020-21,26.81,73.9,2.488,14.2,11.862,83.54,2331.09,17226.76,5.561,1722.94,3.035,760.67,-1368.82
2020-05-01,FY 2020-21,35.43,74.36,2.52,21.563,19.193,89.01,4984.46,37064.44,5.666,2121.78,3.031,947.78,-3810.46
2020-06-01,FY 2020-21,45.46,74.07,2.512,20.942,18.58,88.72,6191.26,45858.66,5.297,2382.06,3.309,1273.67,-5082.87
2020-07-01,FY 2020-21,47.78,74.45,2.475,21.77,19.445,89.32,6810.17,50701.72,5.176,2417.71,3.335,1339.39,-5731.85
2020-08-01,FY 2020-21,50.72,74.85,2.501,21.849,19.498,89.24,7248.92,54258.17,5.471,2676.14,3.079,1301.75,-5874.53
2020-09-01,FY 2020-21,48.57,74.41,2.518,21.78,19.412,89.13,6911.02,51424.9,5.111,2417.63,3.124,1272.42,-5765.81
2020-10-01,FY 2020-21,48.38,74.77,2.52,21.4,19.03,88.93,6748.52,50458.68,5.275,2487.69,3.017,1224.71,-5485.54
2020-11-01,FY 2020-21,51.02,75.29,2.451,21.603,19.302,89.35,7218.5,54348.09,5.354,2630.96,3.109,1321.15,-5908.69
2020-12-01,FY 2020-21,49.83,76.22,2.452,21.671,19.369,89.38,7074.6,53922.6,5.485,2646.38,3.553,1479.38,-5907.6
2021-01-01,FY 2020-21,65.01,75.87,2.443,21.578,19.285,89.37,9189.75,69722.63,5.232,3119.97,3.097,1628.01,-7697.79
2021-02-01,FY 2020-21,67.95,75.29,2.522,21.797,19.425,89.12,9675.08,72843.68,5.41,3345.41,3.173,1735.12,-8064.79
2021-03-01,FY 2020-21,69.06,76.18,2.411,21.713,19.452,89.59,9846.79,75012.85,5.224,3273.88,3.141,1742.73,-8315.64
2021-04-01,FY 2021-22,68.47,76.79,2.431,22.209,19.928,89.73,10001.57,76802.06,5.52,3434.96,3.111,1712.87,-8279.48
2021-05-01,FY 2021-22,71.19,77.46,2.548,21.891,19.493,89.05,10171.89,78791.46,5.405,3473.66,3.187,1817.13,-8515.36
2021-06-01,FY 2021-22,74.52,76.34,2.354,21.544,19.34,89.77,10564.12,80646.49,5.376,3589.29,3.147,1869.77,-8844.6
2021-07-01,FY 2021-22,75.42,76.38,2.412,22.236,19.974,89.83,11042.2,84340.32,5.417,3653.22,3.269,1963.44,-9352.42
2021-08-01,FY 2021-22,78.05,77.19,2.519,21.882,19.513,89.17,11163.51,86171.13,5.322,3694.13,3.15,1951.61,-9420.99
2021-09-01,FY 2021-22,77.99,77.57,2.507,22.348,19.991,89.45,11428.19,88648.47,5.124,3554.39,3.398,2103.8,-9977.6
2021-10-01,FY 2021-22,77.79,77.73,2.419,22.311,20.042,89.83,11427.96,88829.53,5.2,3599.31,3.417,2110.64,-9939.29
2021-11-01,FY 2021-22,79.74,77.3,2.383,21.614,19.381,89.67,11328.08,87566.06,5.421,3831.56,3.491,2205.36,-9701.88
2021-12-01,FY 2021-22,86.2,77.79,2.484,22.25,19.916,89.51,12583.84,97889.69,5.488,4144.81,3.286,2228.7,-10667.73
2022-01-01,FY 2021-22,90.43,78.15,2.395,22.197,19.952,89.89,13225.22,103355.09,5.411,4258.32,3.413,2418.78,-11385.68
2022-02-01,FY 2021-22,87.12,78.1,2.515,22.609,20.244,89.54,12927.61,100964.63,5.629,4290.14,3.342,2288.82,-10926.29
2022-03-01,FY 2021-22,114.17,78.94,2.317,21.905,19.738,90.11,16518.06,130393.57,5.63,5433.09,3.322,2922.11,-14007.08
2022-04-01,FY 2022-23,108.48,78.28,2.34,22.967,20.777,90.46,16521.01,129326.47,5.437,5014.82,3.354,2812.85,-14319.04
2022-05-01,FY 2022-23,114.92,79.07,2.459,22.191,19.882,89.59,16747.87,132425.41,5.402,5243.45,3.447,3050.68,-14555.1
2022-06-01,FY 2022-23,110.41,79.03,2.44,21.887,19.597,89.54,15859.96,125341.26,5.561,5209.68,3.357,2862.02,-13512.3
2022-07-01,FY 2022-23,80.25,79.37,2.477,22.866,20.539,89.82,12081.71,95892.53,5.662,4023.56,3.534,2245.5,-10303.65
2022-08-01,FY 2022-23,77.95,79.26,2.435,22.72,20.435,89.94,11676.02,92544.13,5.42,3758.09,3.44,2128.81,-10046.74
2022-09-01,FY 2022-23,75.76,79.1,2.452,22.557,20.255,89.79,11248.02,88971.84,5.781,3913.45,3.247,1958.17,-9292.74
2022-10-01,FY 2022-23,73.33,79.64,2.439,22.7,20.411,89.92,10971.09,87373.76,5.527,3640.77,3.307,1936.5,-9266.82
2022-11-01,FY 2022-23,70.81,79.94,2.31,22.46,20.3,90.38,10536.46,84228.46,5.562,3558.71,3.332,1890.68,-8868.43
2022-12-01,FY 2022-23,72.33,80.49,2.295,22.38,20.235,90.42,10728.17,86351.04,5.15,3353.81,3.362,1944.5,-9318.86
2023-01-01,FY 2022-23,85.44,80.02,2.392,22.243,20.001,89.92,12526.13,100234.09,5.62,4212.47,3.394,2283.37,-10597.03
2023-02-01,FY 2022-23,84.74,80.34,2.301,22.394,20.243,90.39,12573.82,101018.07,5.652,4206.78,3.5,2337.05,-10704.09
2023-03-01,FY 2022-23,83.68,80.69,2.367,22.262,20.045,90.04,12295.09,99209.08,5.473,4030.04,3.467,2288.55,-10553.6
2023-04-01,FY 2023-24,82.07,81.02,2.432,22.999,20.717,90.08,12462.79,100973.52,5.413,3920.5,3.492,2264.58,-10806.87
2023-05-01,FY 2023-24,79.41,80.56,2.331,22.798,20.617,90.43,12000.65,96677.24,5.768,4062.55,3.282,2065.53,-10003.63
2023-06-01,FY 2023-24,82.61,80.75,2.277,23.254,21.127,90.85,12793.06,103303.96,5.643,4109.94,3.625,2364.92,-11048.04
2023-07-01,FY 2023-24,84.93,82.14,2.369,22.893,20.674,90.31,12870.33,105716.89,5.591,4169.35,3.634,2431.49,-11132.47
2023-08-01,FY 2023-24,84.03,81.24,2.321,22.349,20.178,90.29,12428.44,100968.65,5.567,4113.87,3.331,2207.17,-10521.74
2023-09-01,FY 2023-24,83.3,82.03,2.308,23.523,21.365,90.83,13045.23,107010.02,5.334,3912.49,3.649,2398.71,-11531.45
2023-10-01,FY 2023-24,81.18,81.19,2.463,23.041,20.728,89.96,12334.18,100141.21,5.428,3895.13,3.399,2182.48,-10621.53
2023-11-01,FY 2023-24,78.74,82.01,2.328,23.011,20.833,90.53,12024.06,98609.32,5.662,3959.44,3.511,2192.72,-10257.34
2023-12-01,FY 2023-24,78.07,82.19,2.2,23.246,21.196,91.18,12129.48,99692.2,5.426,3767.14,3.576,2216.06,-10578.4
2024-01-01,FY 2023-24,86.1,82.06,2.367,23.05,20.833,90.38,13147.98,107892.32,5.843,4408.54,3.533,2393.68,-11133.12
2024-02-01,FY 2023-24,83.72,82.9,2.287,22.968,20.831,90.7,12783.31,105973.64,5.515,4062.62,3.576,2361.53,-11082.22
2024-03-01,FY 2023-24,84.03,82.04,2.306,23.447,21.291,90.8,13113.98,107587.09,5.622,4154.52,3.721,2465.59,-11425.05
