date,fiscal_year,company,source_type,crude_oil_production_tmt,natural_gas_production_mmscm
2016-06-01,FY 2016-17,OIL India,Onshore (Assam/Rajasthan),274.33,243.9
2016-06-01,FY 2016-17,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),678.73,393.96
2016-07-01,FY 2016-17,ONGC,Offshore (Mumbai High/Bassein),1072.11,1285.28
2016-07-01,FY 2016-17,ONGC,Onshore (Gujarat/Assam/Others),476.3,499.83
2016-07-01,FY 2016-17,OIL India,Onshore (Assam/Rajasthan),280.64,245.54
2016-07-01,FY 2016-17,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),670.82,410.78
2016-08-01,FY 2016-17,ONGC,Offshore (Mumbai High/Bassein),1079.75,1313.24
2016-08-01,FY 2016-17,ONGC,Onshore (Gujarat/Assam/Others),480.73,510.7
2016-08-01,FY 2016-17,OIL India,Onshore (Assam/Rajasthan),275.68,248.03
2016-08-01,FY 2016-17,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),652.62,419.58
2016-09-01,FY 2016-17,ONGC,Offshore (Mumbai High/Bassein),1152.31,1315.15
2016-09-01,FY 2016-17,ONGC,Onshore (Gujarat/Assam/Others),468.1,511.45
2016-09-01,FY 2016-17,OIL India,Onshore (Assam/Rajasthan),269.54,247.92
2016-09-01,FY 2016-17,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),670.6,459.46
2016-10-01,FY 2016-17,ONGC,Offshore (Mumbai High/Bassein),1143.56,1299.33
2016-10-01,FY 2016-17,ONGC,Onshore (Gujarat/Assam/Others),487.83,505.29
2016-10-01,FY 2016-17,OIL India,Onshore (Assam/Rajasthan),280.72,249.55
2016-10-01,FY 2016-17,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),670.32,388.41
2016-11-01,FY 2016-17,ONGC,Offshore (Mumbai High/Bassein),1129.95,1270.49
2016-11-01,FY 2016-17,ONGC,Onshore (Gujarat/Assam/Others),474.49,494.08
2016-11-01,FY 2016-17,OIL India,Onshore (Assam/Rajasthan),275.32,249.28
2016-11-01,FY 2016-17,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),688.36,374.14
2016-12-01,FY 2016-17,ONGC,Offshore (Mumbai High/Bassein),1124.92,1290.32
2016-12-01,FY 2016-17,ONGC,Onshore (Gujarat/Assam/Others),486.71,501.79
2016-12-01,FY 2016-17,OIL India,Onshore (Assam/Rajasthan),275.05,249.41
2016-12-01,FY 2016-17,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),645.73,385.71
2017-01-01,FY 2016-17,ONGC,Offshore (Mumbai High/Bassein),1133.75,1313.71
2017-01-01,FY 2016-17,ONGC,Onshore (Gujarat/Assam/Others),477.99,510.89
2017-01-01,FY 2016-17,OIL India,Onshore (Assam/Rajasthan),270.59,233.35
2017-01-01,FY 2016-17,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),682.48,397.8
2017-02-01,FY 2016-17,ONGC,Offshore (Mumbai High/Bassein),1119.07,1310.49
2017-02-01,FY 2016-17,ONGC,Onshore (Gujarat/Assam/Others),484.07,509.63
2017-02-01,FY 2016-17,OIL India,Onshore (Assam/Rajasthan),269.58,250.86
2017-02-01,FY 2016-17,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),653.46,375.33
2017-03-01,FY 2016-17,ONGC,Offshore (Mumbai High/Bassein),1122.48,1307.79
2017-03-01,FY 2016-17,ONGC,Onshore (Gujarat/Assam/Others),473.08,508.58
2017-03-01,FY 2016-17,OIL India,Onshore (Assam/Rajasthan),270.25,238.27
2017-03-01,FY 2016-17,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),674.1,405.43
2017-04-01,FY 2017-18,ONGC,Offshore (Mumbai High/Bassein),1157.83,1322.4
2017-04-01,FY 2017-18,ONGC,Onshore (Gujarat/Assam/Others),484.76,514.27
2017-04-01,FY 2017-18,OIL India,Onshore (Assam/Rajasthan),264.88,241.75
2017-04-01,FY 2017-18,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),645.19,396.66
2017-05-01,FY 2017-18,ONGC,Offshore (Mumbai High/Bassein),1136.12,1280.26
2017-05-01,FY 2017-18,ONGC,Onshore (Gujarat/Assam/Others),468.71,497.88
2017-05-01,FY 2017-18,OIL India,Onshore (Assam/Rajasthan),273.48,244.65
2017-05-01,FY 2017-18,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),610.19,369.62
2017-06-01,FY 2017-18,ONGC,Offshore (Mumbai High/Bassein),1147.49,1323.74
2017-06-01,FY 2017-18,ONGC,Onshore (Gujarat/Assam/Others),464.31,514.79
2017-06-01,FY 2017-18,OIL India,Onshore (Assam/Rajasthan),271.03,237.72
2017-06-01,FY 2017-18,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),648.74,404.11
2017-07-01,FY 2017-18,ONGC,Offshore (Mumbai High/Bassein),1076.79,1286.1
2017-07-01,FY 2017-18,ONGC,Onshore (Gujarat/Assam/Others),467.52,500.15
2017-07-01,FY 2017-18,OIL India,Onshore (Assam/Rajasthan),276.27,246.92
2017-07-01,FY 2017-18,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),647.64,379.22
2017-08-01,FY 2017-18,ONGC,Offshore (Mumbai High/Bassein),1076.83,1334.39
2017-08-01,FY 2017-18,ONGC,Onshore (Gujarat/Assam/Others),480.3,518.93
2017-08-01,FY 2017-18,OIL India,Onshore (Assam/Rajasthan),282.85,234.95
2017-08-01,FY 2017-18,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),628.48,381.06
2017-09-01,FY 2017-18,ONGC,Offshore (Mumbai High/Bassein),1127.32,1286.23
2017-09-01,FY 2017-18,ONGC,Onshore (Gujarat/Assam/Others),476.87,500.2
2017-09-01,FY 2017-18,OIL India,Onshore (Assam/Rajasthan),269.43,243.3
2017-09-01,FY 2017-18,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),638.92,394.41
2017-10-01,FY 2017-18,ONGC,Offshore (Mumbai High/Bassein),1122.36,1308.83
2017-10-01,FY 2017-18,ONGC,Onshore (Gujarat/Assam/Others),468.71,508.99
2017-10-01,FY 2017-18,OIL India,Onshore (Assam/Rajasthan),278.4,250.78
2017-10-01,FY 2017-18,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),643.19,367.57
2017-11-01,FY 2017-18,ONGC,Offshore (Mumbai High/Bassein),1107.1,1295.41
2017-11-01,FY 2017-18,ONGC,Onshore (Gujarat/Assam/Others),479.85,503.77
2017-11-01,FY 2017-18,OIL India,Onshore (Assam/Rajasthan),276.5,254.83
2017-11-01,FY 2017-18,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),637.33,369.46
2017-12-01,FY 2017-18,ONGC,Offshore (Mumbai High/Bassein),1122.21,1307.26
2017-12-01,FY 2017-18,ONGC,Onshore (Gujarat/Assam/Others),471.88,508.38
2017-12-01,FY 2017-18,OIL India,Onshore (Assam/Rajasthan),271.36,252.21
2017-12-01,FY 2017-18,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),648.85,396.25
2018-01-01,FY 2017-18,ONGC,Offshore (Mumbai High/Bassein),1112.82,1289.16
2018-01-01,FY 2017-18,ONGC,Onshore (Gujarat/Assam/Others),478.58,501.34
2018-01-01,FY 2017-18,OIL India,Onshore (Assam/Rajasthan),270.64,248.08
2018-01-01,FY 2017-18,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),637.64,383.93
2018-02-01,FY 2017-18,ONGC,Offshore (Mumbai High/Bassein),1098.73,1311.45
2018-02-01,FY 2017-18,ONGC,Onshore (Gujarat/Assam/Others),489.49,510.01
2018-02-01,FY 2017-18,OIL India,Onshore (Assam/Rajasthan),266.3,252.42
2018-02-01,FY 2017-18,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),617.26,382.7
2018-03-01,FY 2017-18,ONGC,Offshore (Mumbai High/Bassein),1118.93,1277.51
2018-03-01,FY 2017-18,ONGC,Onshore (Gujarat/Assam/Others),472.28,496.81
2018-03-01,FY 2017-18,OIL India,Onshore (Assam/Rajasthan),266.78,253.68
2018-03-01,FY 2017-18,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),630.83,369.46
2018-04-01,FY 2018-19,ONGC,Offshore (Mumbai High/Bassein),1095.62,1274.0
2018-04-01,FY 2018-19,ONGC,Onshore (Gujarat/Assam/Others),469.43,495.44
2018-04-01,FY 2018-19,OIL India,Onshore (Assam/Rajasthan),274.48,249.46
2018-04-01,FY 2018-19,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),621.24,373.67
2018-05-01,FY 2018-19,ONGC,Offshore (Mumbai High/Bassein),1098.9,1262.57
2018-05-01,FY 2018-19,ONGC,Onshore (Gujarat/Assam/Others),467.86,491.0
2018-05-01,FY 2018-19,OIL India,Onshore (Assam/Rajasthan),273.23,243.86
2018-05-01,FY 2018-19,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),608.71,365.13
2018-06-01,FY 2018-19,ONGC,Offshore (Mumbai High/Bassein),1109.66,1286.66
2018-06-01,FY 2018-19,ONGC,Onshore (Gujarat/Assam/Others),483.05,500.37
2018-06-01,FY 2018-19,OIL India,Onshore (Assam/Rajasthan),276.81,242.32
2018-06-01,FY 2018-19,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),622.25,366.39
2018-07-01,FY 2018-19,ONGC,Offshore (Mumbai High/Bassein),1055.2,1313.69
2018-07-01,FY 2018-19,ONGC,Onshore (Gujarat/Assam/Others),473.46,510.88
2018-07-01,FY 2018-19,OIL India,Onshore (Assam/Rajasthan),266.54,247.85
2018-07-01,FY 2018-19,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),628.48,371.03
2018-08-01,FY 2018-19,ONGC,Offshore (Mumbai High/Bassein),1067.86,1286.96
2018-08-01,FY 2018-19,ONGC,Onshore (Gujarat/Assam/Others),467.29,500.48
2018-08-01,FY 2018-19,OIL India,Onshore (Assam/Rajasthan),272.68,244.03
2018-08-01,FY 2018-19,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),620.48,363.7
2018-09-01,FY 2018-19,ONGC,Offshore (Mumbai High/Bassein),1107.97,1270.49
2018-09-01,FY 2018-19,ONGC,Onshore (Gujarat/Assam/Others),481.73,494.08
2018-09-01,FY 2018-19,OIL India,Onshore (Assam/Rajasthan),276.92,254.07
2018-09-01,FY 2018-19,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),644.25,364.42
2018-10-01,FY 2018-19,ONGC,Offshore (Mumbai High/Bassein),1131.85,1245.17
2018-10-01,FY 2018-19,ONGC,Onshore (Gujarat/Assam/Others),463.28,484.23
2018-10-01,FY 2018-19,OIL India,Onshore (Assam/Rajasthan),265.96,245.85
2018-10-01,FY 2018-19,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),609.31,348.61
2018-11-01,FY 2018-19,ONGC,Offshore (Mumbai High/Bassein),1099.76,1272.12
2018-11-01,FY 2018-19,ONGC,Onshore (Gujarat/Assam/Others),472.11,494.71
2018-11-01,FY 2018-19,OIL India,Onshore (Assam/Rajasthan),282.09,243.78
2018-11-01,FY 2018-19,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),625.99,365.71
2018-12-01,FY 2018-19,ONGC,Offshore (Mumbai High/Bassein),1076.2,1250.76
2018-12-01,FY 2018-19,ONGC,Onshore (Gujarat/Assam/Others),483.65,486.41
2018-12-01,FY 2018-19,OIL India,Onshore (Assam/Rajasthan),277.74,257.46
2018-12-01,FY 2018-19,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),607.04,354.95
2019-01-01,FY 2018-19,ONGC,Offshore (Mumbai High/Bassein),1113.07,1281.55
2019-01-01,FY 2018-19,ONGC,Onshore (Gujarat/Assam/Others),455.87,498.38
2019-01-01,FY 2018-19,OIL India,Onshore (Assam/Rajasthan),266.9,246.8
2019-01-01,FY 2018-19,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),610.81,364.34
2019-02-01,FY 2018-19,ONGC,Offshore (Mumbai High/Bassein),1076.99,1292.61
2019-02-01,FY 2018-19,ONGC,Onshore (Gujarat/Assam/Others),467.11,502.68
2019-02-01,FY 2018-19,OIL India,Onshore (Assam/Rajasthan),271.06,242.92
2019-02-01,FY 2018-19,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),615.01,330.32
2019-03-01,FY 2018-19,ONGC,Offshore (Mumbai High/Bassein),1110.67,1280.98
2019-03-01,FY 2018-19,ONGC,Onshore (Gujarat/Assam/Others),470.53,498.16
2019-03-01,FY 2018-19,OIL India,Onshore (Assam/Rajasthan),265.68,256.91
2019-03-01,FY 2018-19,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),625.53,352.68
2019-04-01,FY 2019-20,ONGC,Offshore (Mumbai High/Bassein),1120.91,1289.62
2019-04-01,FY 2019-20,ONGC,Onshore (Gujarat/Assam/Others),481.54,501.52
2019-04-01,FY 2019-20,OIL India,Onshore (Assam/Rajasthan),268.51,258.21
2019-04-01,FY 2019-20,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),616.66,335.53
2019-05-01,FY 2019-20,ONGC,Offshore (Mumbai High/Bassein),1098.79,1240.39
2019-05-01,FY 2019-20,ONGC,Onshore (Gujarat/Assam/Others),475.59,482.38
2019-05-01,FY 2019-20,OIL India,Onshore (Assam/Rajasthan),259.28,248.55
2019-05-01,FY 2019-20,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),588.88,359.1
2019-06-01,FY 2019-20,ONGC,Offshore (Mumbai High/Bassein),1109.54,1245.54
2019-06-01,FY 2019-20,ONGC,Onshore (Gujarat/Assam/Others),467.34,484.38
2019-06-01,FY 2019-20,OIL India,Onshore (Assam/Rajasthan),279.44,250.0
2019-06-01,FY 2019-20,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),584.61,352.43
2019-07-01,FY 2019-20,ONGC,Offshore (Mumbai High/Bassein),1041.61,1287.35
2019-07-01,FY 2019-20,ONGC,Onshore (Gujarat/Assam/Others),449.84,500.64
2019-07-01,FY 2019-20,OIL India,Onshore (Assam/Rajasthan),268.97,252.7
2019-07-01,FY 2019-20,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),583.6,330.9
2019-08-01,FY 2019-20,ONGC,Offshore (Mumbai High/Bassein),1033.24,1256.66
2019-08-01,FY 2019-20,ONGC,Onshore (Gujarat/Assam/Others),457.53,488.7
2019-08-01,FY 2019-20,OIL India,Onshore (Assam/Rajasthan),268.96,253.69
2019-08-01,FY 2019-20,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),608.8,335.38
2019-09-01,FY 2019-20,ONGC,Offshore (Mumbai High/Bassein),1070.61,1251.94
2019-09-01,FY 2019-20,ONGC,Onshore (Gujarat/Assam/Others),464.77,486.86
2019-09-01,FY 2019-20,OIL India,Onshore (Assam/Rajasthan),262.96,262.62
2019-09-01,FY 2019-20,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),588.77,342.2
2019-10-01,FY 2019-20,ONGC,Offshore (Mumbai High/Bassein),1070.5,1283.66
2019-10-01,FY 2019-20,ONGC,Onshore (Gujarat/Assam/Others),466.96,499.2
2019-10-01,FY 2019-20,OIL India,Onshore (Assam/Rajasthan),268.33,255.55
2019-10-01,FY 2019-20,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),590.85,332.04
2019-11-01,FY 2019-20,ONGC,Offshore (Mumbai High/Bassein),1070.86,1296.3
2019-11-01,FY 2019-20,ONGC,Onshore (Gujarat/Assam/Others),462.67,504.12
2019-11-01,FY 2019-20,OIL India,Onshore (Assam/Rajasthan),255.02,261.04
2019-11-01,FY 2019-20,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),573.4,334.6
2019-12-01,FY 2019-20,ONGC,Offshore (Mumbai High/Bassein),1086.65,1268.5
2019-12-01,FY 2019-20,ONGC,Onshore (Gujarat/Assam/Others),466.99,493.3
2019-12-01,FY 2019-20,OIL India,Onshore (Assam/Rajasthan),287.14,245.6
2019-12-01,FY 2019-20,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),603.1,312.57
2020-01-01,FY 2019-20,ONGC,Offshore (Mumbai High/Bassein),1079.55,1250.43
2020-01-01,FY 2019-20,ONGC,Onshore (Gujarat/Assam/Others),458.07,486.28
2020-01-01,FY 2019-20,OIL India,Onshore (Assam/Rajasthan),259.97,261.62
2020-01-01,FY 2019-20,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),579.99,348.22
2020-02-01,FY 2019-20,ONGC,Offshore (Mumbai High/Bassein),1074.88,1296.42
2020-02-01,FY 2019-20,ONGC,Onshore (Gujarat/Assam/Others),475.59,504.16
2020-02-01,FY 2019-20,OIL India,Onshore (Assam/Rajasthan),268.8,254.9
2020-02-01,FY 2019-20,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),575.5,317.77
2020-03-01,FY 2019-20,ONGC,Offshore (Mumbai High/Bassein),1070.64,1302.47
2020-03-01,FY 2019-20,ONGC,Onshore (Gujarat/Assam/Others),456.37,506.52
2020-03-01,FY 2019-20,OIL India,Onshore (Assam/Rajasthan),259.87,243.44
2020-03-01,FY 2019-20,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),595.03,340.11
2020-04-01,FY 2020-21,ONGC,Offshore (Mumbai High/Bassein),1062.24,1268.07
2020-04-01,FY 2020-21,ONGC,Onshore (Gujarat/Assam/Others),459.1,493.14
2020-04-01,FY 2020-21,OIL India,Onshore (Assam/Rajasthan),264.45,247.01
2020-04-01,FY 2020-21,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),571.63,334.06
2020-05-01,FY 2020-21,ONGC,Offshore (Mumbai High/Bassein),1069.75,1279.9
